iter	Passed	Remaining
0	3	325
1	5	246
2	7	231
3	8	207
4	10	198
5	14	230
6	17	236
7	20	240
8	23	234
9	26	235
10	28	228
11	32	236
12	34	232
13	36	225
14	38	215
15	40	212
16	41	203
17	43	199
18	47	202
19	50	202
20	52	196
21	55	195
22	58	195
23	60	190
24	65	197
25	70	200
26	72	195
27	76	197
28	80	197
29	93	217
30	98	219
31	100	214
32	103	210
33	109	212
34	112	208
35	119	212
36	122	208
37	124	202
38	130	203
39	133	199
40	138	198
41	142	196
42	144	191
43	151	192
44	152	186
45	154	181
46	157	177
47	161	174
48	163	170
49	169	169
50	176	169
51	181	167
52	183	163
53	190	161
54	192	157
55	194	152
56	195	147
57	199	144
58	200	139
59	202	135
60	208	133
61	211	129
62	214	125
63	218	123
64	220	118
65	225	115
66	230	113
67	232	109
68	233	104
69	236	101
70	237	97
71	239	93
72	240	89
73	243	85
74	245	81
75	249	78
76	250	74
77	252	71
78	255	67
79	257	64
80	259	60
81	261	57
82	263	54
83	265	50
84	266	46
85	270	43
86	273	40
87	274	37
88	277	34
89	280	31
90	281	27
91	283	24
92	285	21
93	287	18
94	289	15
95	291	12
96	293	9
97	294	6
98	297	3
99	300	0
