iter	Passed	Remaining
0	485	485041
1	502	250614
2	604	200894
3	608	151631
4	613	122121
5	620	102722
6	623	88408
7	625	77609
8	662	72981
9	737	73008
10	740	66585
11	750	61762
12	852	64748
13	855	60280
14	859	56433
15	874	53772
16	879	50872
17	885	48284
18	890	45953
19	896	43930
20	1021	47636
21	1113	49508
22	1126	47849
23	1142	46450
24	1181	46067
25	1209	45318
26	1486	53570
27	1491	51767
28	1495	50057
29	1505	48688
30	1510	47228
31	1518	45944
32	1528	44777
33	1536	43667
34	1546	42630
35	1554	41633
36	1562	40658
37	1567	39678
38	1570	38694
39	1619	38872
40	1644	38463
41	1652	37696
42	1663	37027
43	1671	36306
44	1677	35602
45	1745	36193
46	1749	35480
47	1751	34746
48	1754	34056
49	1758	33410
50	1763	32822
51	1767	32215
52	1769	31608
53	1770	31023
54	1781	30605
55	1783	30061
56	1788	29585
57	1795	29163
58	1799	28705
59	1802	28236
60	1811	27888
61	1817	27499
62	1820	27077
63	1822	26653
64	1825	26258
65	1830	25906
66	1838	25603
67	1846	25313
68	1848	24947
69	1852	24609
70	1856	24289
71	1860	23982
72	1869	23745
73	1901	23793
74	1909	23545
75	1911	23243
76	1936	23215
77	1969	23280
78	1990	23210
79	1997	22970
80	1999	22682
81	2008	22485
82	2009	22204
83	2017	21999
84	2024	21791
85	2029	21567
86	2034	21351
87	2041	21161
88	2053	21014
89	2055	20781
90	2060	20579
91	2063	20367
92	2068	20173
93	2072	19979
94	2078	19802
95	2081	19600
96	2084	19405
97	2090	19237
98	2095	19068
99	2101	18914
100	2107	18757
101	2111	18587
102	2120	18466
103	2127	18328
104	2133	18188
105	2137	18023
106	2139	17857
107	2148	17746
108	2153	17604
109	2156	17450
110	2162	17322
111	2169	17204
112	2179	17107
113	2184	16980
114	2192	16872
115	2197	16743
116	2201	16614
117	2204	16476
118	2260	16735
119	2356	17284
120	2362	17159
121	2365	17026
122	2385	17006
123	2474	17482
124	2480	17362
125	2483	17223
126	2488	17108
127	2494	16992
128	2497	16860
129	2502	16746
130	2511	16663
131	2515	16539
132	2532	16506
133	2538	16405
134	2548	16327
135	2564	16294
136	2593	16338
137	2603	16262
138	2610	16167
139	2612	16050
140	2617	15943
141	2625	15863
142	2631	15769
143	2663	15830
144	2675	15778
145	2681	15687
146	2693	15627
147	2705	15576
148	2709	15474
149	2715	15389
150	2728	15341
151	2738	15275
152	2756	15258
153	2761	15168
154	2765	15078
155	2778	15030
156	2783	14944
